
2026-06-04 14:38:53,Karachi,4,30.76,149.64,0.07,77.89,48.44,0.42,0,28.83,84,1000,6.62
2026-06-04 14:40:54,Karachi,4,30.76,149.64,0.07,77.89,48.44,0.42,0,28.83,84,1000,6.62
2026-06-04 17:39:26,Karachi,4,31.77,152.67,0.07,78.71,49.03,0.44,0,28.46,84,1001,6.25
2026-06-04 19:55:56,Karachi,4,31.83,147.26,0.07,79.15,50.43,0.45,0,28.61,82,1001,6.82
2026-06-04 21:27:31,Karachi,4,31.42,143.87,0.07,79.21,50.39,0.46,0,28.25,83,1001,6.63
2026-06-04 23:02:56,Karachi,4,30.58,135.65,0.06,79.53,51.25,0.46,0,28.06,83,1001,6.35
2026-06-05 02:41:16,Karachi,4,27.44,119.33,0.08,78.24,48.83,0.44,0,29.11,77,1003,6.26
2026-06-05 07:01:18,Karachi,4,26.29,112.49,0.05,77.22,46.65,0.41,0,31.21,70,1003,6.91
2026-06-05 11:19:20,Karachi,4,26.27,108.92,0.04,77.14,44.25,0.36,0,31.05,73,1001,6.56
2026-06-05 14:29:52,Karachi,4,26.89,114.48,0.07,77.22,44.7,0.35,0,29.24,81,1000,6.47
2026-06-05 17:08:28,Karachi,4,29.39,122.03,0.08,78.95,48.45,0.36,0,28.51,85,1002,6.1
2026-06-05 19:43:54,Karachi,4,33.36,146.51,0.07,79.97,49.83,0.39,0,28.09,86,1003,5.97
2026-06-05 21:18:28,Karachi,4,34.5,153.34,0.07,80.69,50.5,0.4,0,28.07,86,1002,5.54
